pyears,n,event,rate,term,group,outcome,analysis,pyears_unexposed,ratio,ratio_text
NA,41,NA,0,alc1,alc,bisphosphonate,sens_all_ages,3811.8877481177274,644.5796296296296,1:645
804.1368925393566,5623,NA,1.2435693589957475,patternintermittent,pattern,fract_composite,main,804.1368925393566,8.780072940332417,1:9
91.58658453114305,942,NA,0,patterncontinuous,pattern,fract_composite,main,804.1368925393566,8.780072940332417,1:9
12.706365503080082,95,NA,0,cumdaysfew,cumdays,fract_composite,main,12.706365503080082,0.014389716050377959,1:0
883.0171115674195,6470,NA,1.1324808850248975,cumdaysmany,cumdays,fract_composite,main,12.706365503080082,0.014389716050377959,1:0
232.87337440109513,1683,NA,0,pattern_rt_gapintermittent,pattern_rt_gap,fract_composite,main,232.87337440109513,0.3513213220655415,1:0
662.8501026694045,4882,NA,1.508636712844787,pattern_rt_gapcontinuous,pattern_rt_gap,fract_composite,main,232.87337440109513,0.3513213220655415,1:0
810.1574264202601,5949,NA,1.234328005136697,pattern_laggedintermittent,pattern_lagged,fract_composite,main,810.1574264202601,9.468211051739033,1:9
85.56605065023956,616,NA,0,pattern_laggedcontinuous,pattern_lagged,fract_composite,main,810.1574264202601,9.468211051739033,1:9
607.0800821355236,4355,NA,1.6472291373525272,pattern_ittintermittent,pattern_itt,fract_composite,main,607.0800821355236,2.1032183406527745,1:2
288.643394934976,2210,NA,0,pattern_ittcontinuous,pattern_itt,fract_composite,main,607.0800821355236,2.1032183406527745,1:2
NA,49,NA,0,cumdose450 to 899 mg,cumdose,fract_composite,main,NA,0.4660543850171079,1:0
15.203285420944558,113,NA,0,cumdose900 to 1500 mg,cumdose,fract_composite,main,NA,0.4660543850171079,1:0
873.4346338124573,6403,NA,1.1449053670279792,cumdose>1500 mg,cumdose,fract_composite,main,NA,0.4660543850171079,1:0
809.5386721423682,5933,NA,1.2352714384275105,severity0,severity,fract_composite,main,809.5386721423682,18.965043935603873,1:19
42.68583162217659,299,NA,0,severity1,severity,fract_composite,main,809.5386721423682,18.965043935603873,1:19
35.148528405201915,269,NA,0,severity2,severity,fract_composite,main,809.5386721423682,18.965043935603873,1:19
NA,64,NA,0,severity3,severity,fract_composite,main,809.5386721423682,18.965043935603873,1:19
891.7809719370294,6534,NA,1.1213515778744516,asthma0,asthma,fract_composite,main,891.7809719370294,226.1965277777778,1:226
NA,31,NA,0,asthma1,asthma,fract_composite,main,891.7809719370294,226.1965277777778,1:226
894.7378507871321,6557,NA,1.1176457988451758,alc0,alc,fract_composite,main,894.7378507871321,907.7861111111112,1:908
NA,NA,NA,0,alc1,alc,fract_composite,main,894.7378507871321,907.7861111111112,1:908
4557.711156741958,27952,NA,0.43881675060551306,patternintermittent,pattern,fract_composite,sens_all_follow_up,4557.711156741958,28.415676635258773,1:28
160.39425051334703,1810,NA,0,patterncontinuous,pattern,fract_composite,sens_all_follow_up,4557.711156741958,28.415676635258773,1:28
18.21218343600274,130,NA,0,cumdaysfew,cumdays,fract_composite,sens_all_follow_up,18.21218343600274,0.00387502067998108,1:0
4699.893223819302,29632,NA,0.4255415824904057,cumdaysmany,cumdays,fract_composite,sens_all_follow_up,18.21218343600274,0.00387502067998108,1:0
1243.937029431896,7916,NA,0,pattern_rt_gapintermittent,pattern_rt_gap,fract_composite,sens_all_follow_up,1243.937029431896,0.3580531782432581,1:0
3474.1683778234087,21846,NA,0.5756773369899286,pattern_rt_gapcontinuous,pattern_rt_gap,fract_composite,sens_all_follow_up,1243.937029431896,0.3580531782432581,1:0
4562.907597535935,28554,NA,0.43831700669985996,pattern_laggedintermittent,pattern_lagged,fract_composite,sens_all_follow_up,4562.907597535935,29.40059273894789,1:29
155.1978097193703,1208,NA,0,pattern_laggedcontinuous,pattern_lagged,fract_composite,sens_all_follow_up,4562.907597535935,29.40059273894789,1:29
3242.299794661191,20282,NA,0.616846105129829,pattern_ittintermittent,pattern_itt,fract_composite,sens_all_follow_up,3242.299794661191,2.196969415885336,1:2
1475.8056125941137,9480,NA,0,pattern_ittcontinuous,pattern_itt,fract_composite,sens_all_follow_up,3242.299794661191,2.196969415885336,1:2
NA,64,NA,0,cumdose450 to 899 mg,cumdose,fract_composite,sens_all_follow_up,NA,0.3677902621722846,1:0
25.585215605749486,184,NA,0,cumdose900 to 1500 mg,cumdose,fract_composite,sens_all_follow_up,NA,0.3677902621722846,1:0
4683.110198494182,29514,NA,0.42706661069882246,cumdose>1500 mg,cumdose,fract_composite,sens_all_follow_up,NA,0.3677902621722846,1:0
4192.331279945243,26469,NA,0.47706153604018675,severity0,severity,fract_composite,sens_all_follow_up,4192.331279945243,15.199557289340202,1:15
275.8193018480493,1711,NA,0,severity1,severity,fract_composite,sens_all_follow_up,4192.331279945243,15.199557289340202,1:15
207.09924709103353,1318,NA,0,severity2,severity,fract_composite,sens_all_follow_up,4192.331279945243,15.199557289340202,1:15
42.85557837097878,264,NA,0,severity3,severity,fract_composite,sens_all_follow_up,4192.331279945243,15.199557289340202,1:15
4691.115674195757,29615,NA,0.4263378136253013,asthma0,asthma,fract_composite,sens_all_follow_up,4691.115674195757,173.8111178738081,1:174
26.989733059548254,147,NA,0,asthma1,asthma,fract_composite,sens_all_follow_up,4691.115674195757,173.8111178738081,1:174
4710.56810403833,29720,NA,0.42457723905645633,alc0,alc,fract_composite,sens_all_follow_up,4710.56810403833,624.9673083908463,1:625
NA,42,NA,0,alc1,alc,fract_composite,sens_all_follow_up,4710.56810403833,624.9673083908463,1:625
330.29705681040383,3841,NA,3.02757768917698,patternintermittent,pattern,fract_composite,sens_shorter_windows,330.29705681040383,2.693420553236141,1:3
122.63107460643396,1650,NA,0,patterncontinuous,pattern,fract_composite,sens_shorter_windows,330.29705681040383,2.693420553236141,1:3
NA,96,NA,0,cumdaysfew,cumdays,fract_composite,sens_shorter_windows,NA,0.017554650690745365,1:0
445.11430527036276,5395,NA,2.2466139330044657,cumdaysmany,cumdays,fract_composite,sens_shorter_windows,NA,0.017554650690745365,1:0
117.17180013689254,1410,NA,0,pattern_rt_gapintermittent,pattern_rt_gap,fract_composite,sens_shorter_windows,117.17180013689254,0.3489786765605251,1:0
335.75633127994524,4081,NA,2.9783503893668204,pattern_rt_gapcontinuous,pattern_rt_gap,fract_composite,sens_shorter_windows,117.17180013689254,0.3489786765605251,1:0
332.5968514715948,3779,NA,3.0066430141338976,pattern_laggedintermittent,pattern_lagged,fract_composite,sens_shorter_windows,332.5968514715948,2.764009920138336,1:3
